slno,qn,real_ans,model_ans
1,what is the IFSC code and address of Allahabad Bank," IFSC Code: ALLA0888888, Address: Allahabad Bank, 3rd Floor, Allahabad Bank Building,
37, Mumbai Samachar Marg, Fort ,Mumbai -23","The IFSC code of Allahabad Bank is ALLA0888888. 
The address is Allahabad Bank, 3rd Floor, Allahabad Bank Building, 37, Mumbai Samachar Marg, Fort ,Mumbai -23."
2,what is the branch name of UTI Bank,Branch name is not mentioned,"Maker Towers ' F' 11th Floor, Cuffe Parade,  Mumbai - 400 005. 
The branch name is not explicitly mentioned, but based on the address, it can be referred to as ""Mumbai"" or more specifically, the address itself. However, a more direct answer based on the structure of the provided information would be to state the address as it directly follows the branch name field.

So, UTI Bank's branch details do not explicitly state a branch name other than the address: Maker Towers ' F' 11th Floor, Cuffe Parade,  Mumbai - 400 005."
3,tell me about Bank of Tokyo Mitsubishi Ltd.,"IFSC: BOTM0003611, Branch Name: Mumbai, Address: 3, JEEVAN VIHAR BUILDING, PARLIAMENT STREET, NEW DELHI- 110001",I don't know.
4,"tell the name of bank having branch in 'Star House, 8th floor, C-5, G Block, Bandra Kurla Complex, Bandra East, Mumbai 400 051'.",Bank of India,I don't know.
5,name the bank having IFSC code PUNB0244200 and branch name Nehru Centre,"No bank has IFSC code PUNB0244200 and branch name Nehru Centre, the IFSC code belongs to Punjab National Bank and Branch Name to Yes Bank",I don't know.
6,"Which bank operates in the Information Technology Department, Marol",IDBI Bank,I don't know.
7,Is Axis Bank listed in RTGS document?,No,I don't know.
8,Which all Global ESG Benchmarks were taken for evaluating axis bank?,"S&P ESG Score, FTSE4Good Index , MSCI ESG Ratings, CDP Score, CRISIL ESG Ratings, Sustainalytics, Nifty100 ESG Sector Leaders, S&P BSE 100 ESG Index, MSCI India ESG Leaders, S&P BSE CARBONEX Index","The Global ESG Benchmarks that were taken for evaluating Axis Bank are:

1. S&P ESG Score 2024
2. FTSE4Good Index 
3. MSCI ESG Ratings 
4. CDP Score 
5. Nifty100 ESG Sector Leaders Index
6. MSCI India ESG Leaders Index 
7. S&P BSE 100 ESG Index 
8. S&P BSE CARBONEX Index
9. CRISIL ESG Ratings 
10. Sustainalytics"
9,Name the subsidiaries of axis bank?,"Axis Mutual Fund, Axis Capital, Axis Finance, Axis Securities, Axis Trustee, Freecharge, ATREDS, Axis Max Life Insurance","The subsidiaries of Axis Bank mentioned in the context are:

1. Axis Finance
2. Axis Capital
3. Axis Securities
4. Axis AMC (Asset Management Company) 
5. Axis Mobile app (part of Digital Banking Segment)"
10,which bank won the digital cx awards 2024?,"Axis Bank (expected ans is I don't know, as the answer is in an image)",I don't know.
